,date,mmwr_week,location,distributed,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_unk_manuf,dist_per_100k,distributed_per_100k_12plus,distributed_per_100k_18plus,distributed_per_100k_65plus,administered,administered_12plus,administered_18plus,administered_65plus,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,administered_fed_ltc,administered_fed_ltc_residents,administered_fed_ltc_staff,administered_fed_ltc_unk,administered_fed_ltc_dose1,administered_fed_ltc_dose1_1,administered_fed_ltc_dose1_2,administered_fed_ltc_dose1_3,admin_per_100k,admin_per_100k_12plus,admin_per_100k_18plus,admin_per_100k_65plus,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_1,administered_dose1_recip_2,administered_dose1_recip_3,administered_dose1_recip_4,administered_dose1_recip_5,administered_dose1_recip_6,series_complete_yes,series_complete_pop_pct,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,series_complete_janssen,series_complete_moderna,series_complete_pfizer,series_complete_unk_manuf,series_complete_janssen_12plus,series_complete_moderna_12plus,series_complete_pfizer_12plus,series_complete_unk_manuf_1,series_complete_janssen_18plus,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_unk_manuf_2,series_complete_janssen_65plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_unk_manuf_3,series_complete_fedltc,series_complete_fedltc_1,series_complete_fedltc_staff,series_complete_fedltc_unknown
12923,2021-07-01T00:00:00.000,26,LA,4054690,238100,1788200,2028390,0,87220,103348,113859,547175,3380221,3380048,3300393,1155776,124367,1534812,1719860,1182,117845,42566,23736,51543,74395,23288,13920,37187,72712,86153,92677,155971,3312318,1789830,38.5,1789679,45.6,1743198,49,587630,79.3,1627321,35,1627267,41.5,1594774,44.8,560577,75.6,118414,710552,797783,572,118396,710539,797760,572,118316,710281,765609,568,18810,266335,275306,126,42646,18811,9536,14299
12924,2021-07-01T00:00:00.000,26,WV,1892105,110200,856240,925665,0,105578,121457,132077,515544,1420441,1419550,1362331,526340,34235,655496,730400,310,25971,4,2,25965,13385,4,1,13380,79259,91123,95096,143413,1418489,783445,43.7,782842,50.3,749113,52.3,279906,76.3,668104,37.3,667830,42.9,644795,45,253291,69,35281,299491,333132,200,35268,299409,332953,200,35232,299211,310165,187,5729,129861,117610,91,12371,4,1,12366
12925,2021-07-01T00:00:00.000,26,ND,718510,36500,314240,367770,0,94285,112752,123478,599533,643108,642115,621797,193516,28460,275139,339509,0,6625,3023,2232,1370,3567,1586,1170,811,84391,100764,106858,161472,612164,334750,43.9,334161,52.4,323241,55.6,99756,83.2,296509,38.9,296182,46.5,288230,49.5,89019,74.3,25487,123128,147893,1,25484,123123,147574,1,25365,122942,139922,1,3446,44093,41480,0,3019,1411,1056,552
12926,2021-07-01T00:00:00.000,26,TN,6315010,367800,2639620,3307590,0,92471,108216,118723,552304,5283873,5283271,5129717,1739236,160843,2158584,2952205,12241,108573,56559,30872,21142,66387,33999,19074,13314,77372,90536,96439,152112,5183055,2851272,41.8,2850748,48.9,2758741,51.9,897017,78.5,2421025,35.5,2420908,41.5,2361600,44.4,804555,70.4,155960,956807,1304630,3628,155924,956792,1304564,3628,155802,956507,1245676,3615,27399,404696,370245,2215,42191,22589,11670,7932
12927,2021-07-01T00:00:00.000,26,MH,51300,10800,40500,0,0,87823,102839,112755,518339,33077,33050,32994,1936,931,32146,0,0,0,0,0,0,0,0,0,0,56626,66254,72519,19561,33133,18208,31.2,18189,36.5,18147,39.9,1071,10.8,15752,27,15744,31.6,15723,34.6,906,9.2,929,14812,11,0,929,14804,11,0,927,14787,9,0,41,865,0,0,0,0,0,0
12928,2021-07-01T00:00:00.000,26,WI,6112565,318700,2608540,3185325,0,104983,122256,134170,600895,5918279,5917930,5653008,1828069,235819,2441522,3240288,650,182322,85952,59596,36774,115852,50720,36157,28975,101646,118364,124083,179708,5876933,3127858,53.7,3127425,62.6,2979365,65.4,916756,90.1,2886653,49.6,2886517,57.7,2772752,60.9,884112,86.9,228150,1142171,1516041,291,228134,1142158,1515934,291,228011,1141920,1402537,284,24256,430187,429546,123,65813,34728,23236,7849
12929,2021-07-01T00:00:00.000,26,NC,11685890,646500,4822400,6216990,0,111421,130052,142731,667348,9285070,9271825,8871484,2799472,344455,3703207,5236970,438,227784,112454,73151,42179,136199,63596,42824,29779,88530,103186,108356,159870,9193514,5109348,48.7,5100958,56.8,4870328,59.5,1456725,83.2,4389800,41.9,4384944,48.8,4218997,51.5,1333077,76.1,337869,1673751,2378138,42,337848,1673659,2373395,42,336663,1671173,2211119,42,39813,644342,648895,27,90369,47838,29589,12942
12930,2021-07-01T00:00:00.000,26,ME,1854310,103100,797660,953550,0,137948,156490,169286,650031,1615250,1615155,1533672,506109,105103,683683,826053,411,38148,17095,15312,5741,22630,9572,9652,3406,120163,136307,140014,177417,1627062,893723,66.5,893631,75.4,849868,77.6,270511,94.8,827255,61.5,827228,69.8,790165,72.1,257633,90.3,103534,328338,395278,105,103517,328334,395272,105,103484,328287,358296,98,21455,118202,117941,35,15474,7498,5640,2336
12931,2021-07-01T00:00:00.000,26,DC,1061635,54400,422820,584415,0,150427,174109,183807,1215480,865044,864969,844039,169376,27818,341211,495634,381,9009,4253,3897,859,5403,2354,2352,697,122571,141855,146133,193921,778036,432968,61.3,432882,71,418821,72.5,74460,85.3,369251,52.3,369213,60.6,360539,62.4,66376,76,31161,140620,197280,190,31159,140615,197249,190,31142,140575,188641,181,2198,37454,26701,23,3498,1836,1501,161
12932,2021-07-01T00:00:00.000,26,WY,516325,34000,248520,233805,0,89212,105218,116022,520599,423238,423220,410860,144867,16847,201513,204650,228,6777,1398,692,4687,3635,637,347,2651,73129,86245,92323,146066,414952,227741,39.3,227719,46.4,220437,49.5,76530,77.2,199743,34.5,199740,40.7,194810,43.8,71296,71.9,15786,90362,93541,54,15785,90362,93539,54,15780,90346,88630,54,2620,36942,31710,24,3115,752,341,2022
12933,2021-07-01T00:00:00.000,26,VT,920400,52800,397260,470340,0,147503,167057,180476,736090,852491,852377,803465,252954,38701,359951,453204,635,21742,10174,7247,4321,12937,5802,4291,2844,136620,154710,157547,202300,835861,461667,74,461540,83.8,434766,85.3,126992,99.9,409864,65.7,409835,74.4,387353,76,117484,94,37368,161816,210462,218,37357,161807,210453,218,37328,161784,188027,214,1873,58677,56798,136,8621,4268,2903,1450
