,date,fips,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi
55,2020-12-13T00:00:00.000,45017,51,Calhoun County,SC,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
56,2020-12-13T00:00:00.000,41023,51,Grant County,OR,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
57,2020-12-13T00:00:00.000,54067,51,Nicholas County,WV,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
58,2020-12-13T00:00:00.000,12027,51,DeSoto County,FL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
59,2020-12-13T00:00:00.000,36097,51,Schuyler County,NY,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
60,2020-12-13T00:00:00.000,72097,51,Mayaguez Municipio,PR,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
61,2020-12-13T00:00:00.000,22073,51,Ouachita Parish,LA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
62,2020-12-13T00:00:00.000,47141,51,Putnam County,TN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
63,2020-12-13T00:00:00.000,31039,51,Cuming County,NE,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
64,2020-12-13T00:00:00.000,53031,51,Jefferson County,WA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
65,2020-12-13T00:00:00.000,48153,51,Floyd County,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
66,2020-12-13T00:00:00.000,36077,51,Otsego County,NY,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
67,2020-12-13T00:00:00.000,46067,51,Hutchinson County,SD,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
68,2020-12-13T00:00:00.000,24009,51,Calvert County,MD,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
69,2020-12-13T00:00:00.000,46059,51,Hand County,SD,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
70,2020-12-13T00:00:00.000,1053,51,Escambia County,AL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
71,2020-12-13T00:00:00.000,13077,51,Coweta County,GA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
72,2020-12-13T00:00:00.000,37071,51,Gaston County,NC,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
73,2020-12-13T00:00:00.000,41067,51,Washington County,OR,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
74,2020-12-13T00:00:00.000,18079,51,Jennings County,IN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
75,2020-12-13T00:00:00.000,47059,51,Greene County,TN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
