date,changecolor,cases_avg_per_100k,segmentname
2020-03-24,#AB5A68,1.0999999999999999,To Republican
2020-03-25,#030D97,2.439096989966556,Stayed Democrat
2020-03-25,#11A3D6,0.973673469387755,To Democrat
2020-03-25,#556B2F,3.84,To other
2020-03-25,#970D03,1.0000889679715315,Stayed Republican
2020-03-25,#AB5A68,1.4266666666666665,To Republican
2020-03-26,#030D97,3.0134539473684203,Stayed Democrat
2020-03-26,#11A3D6,1.2258000000000002,To Democrat
2020-03-26,#556B2F,5.5,To other
2020-03-26,#970D03,1.2002533783783778,Stayed Republican
2020-03-26,#AB5A68,1.33,To Republican
2020-03-27,#030D97,3.5666775244299695,Stayed Democrat
2020-03-27,#11A3D6,1.4225999999999999,To Democrat
2020-03-27,#556B2F,6.8,To other
2020-03-27,#970D03,1.4117908082408865,Stayed Republican
2020-03-27,#AB5A68,1.56,To Republican
2020-03-28,#030D97,4.1484565916398735,Stayed Democrat
2020-03-28,#11A3D6,1.6488000000000003,To Democrat
2020-03-28,#556B2F,7.24,To other
2020-03-28,#970D03,1.6033742331288345,Stayed Republican
2020-03-28,#AB5A68,1.786,To Republican
2020-03-29,#030D97,4.551518987341776,Stayed Democrat
2020-03-29,#11A3D6,1.916274509803922,To Democrat
2020-03-29,#556B2F,8.29,To other
2020-03-29,#970D03,1.7790895522388046,Stayed Republican
2020-03-29,#AB5A68,1.6466666666666665,To Republican
2020-03-30,#030D97,5.110410094637223,Stayed Democrat
2020-03-30,#11A3D6,2.190980392156863,To Democrat
2020-03-30,#556B2F,9.68,To other
2020-03-30,#970D03,1.982099125364431,Stayed Republican
2020-03-30,#AB5A68,1.9300000000000004,To Republican
2020-03-31,#030D97,5.8420062695924795,Stayed Democrat
2020-03-31,#11A3D6,2.656666666666668,To Democrat
2020-03-31,#556B2F,9.77,To other
2020-03-31,#970D03,2.277085714285714,Stayed Republican
2020-03-31,#AB5A68,2.2383333333333333,To Republican
2020-04-01,#030D97,6.469034267912771,Stayed Democrat
2020-04-01,#11A3D6,3.0084313725490204,To Democrat
2020-04-01,#556B2F,9.51,To other
2020-04-01,#970D03,2.5701553672316404,Stayed Republican
2020-04-01,#AB5A68,2.75,To Republican
2020-04-02,#030D97,7.2823052959501595,Stayed Democrat
2020-04-02,#11A3D6,3.237058823529412,To Democrat
2020-04-02,#556B2F,8.9,To other
2020-04-02,#970D03,2.90496561210454,Stayed Republican
2020-04-02,#AB5A68,2.4728571428571433,To Republican
2020-04-03,#030D97,8.00179012345679,Stayed Democrat
2020-04-03,#11A3D6,3.4840384615384616,To Democrat
2020-04-03,#556B2F,9.51,To other
2020-04-03,#970D03,3.143066485753053,Stayed Republican
2020-04-03,#AB5A68,2.2271428571428573,To Republican
2020-04-04,#030D97,8.672822085889576,Stayed Democrat
2020-04-04,#11A3D6,3.9401923076923087,To Democrat
2020-04-04,#556B2F,12.21,To other
2020-04-04,#970D03,3.5088053691275163,Stayed Republican
2020-04-04,#AB5A68,2.591428571428571,To Republican
2020-04-05,#030D97,8.938990825688073,Stayed Democrat
2020-04-05,#11A3D6,4.001346153846155,To Democrat
2020-04-05,#556B2F,13.43,To other
2020-04-05,#970D03,3.691198402130493,Stayed Republican
2020-04-05,#AB5A68,2.4514285714285715,To Republican
2020-04-06,#030D97,9.227713414634149,Stayed Democrat
2020-04-06,#11A3D6,4.139423076923077,To Democrat
2020-04-06,#556B2F,13.26,To other
2020-04-06,#970D03,3.948084544253633,Stayed Republican
2020-04-06,#AB5A68,2.3350000000000004,To Republican
2020-04-07,#030D97,9.60399390243903,Stayed Democrat
2020-04-07,#11A3D6,4.268076923076924,To Democrat
2020-04-07,#556B2F,13.61,To other
2020-04-07,#970D03,4.1520052083333345,Stayed Republican
2020-04-07,#AB5A68,2.33375,To Republican
2020-04-08,#030D97,9.725457317073172,Stayed Democrat
2020-04-08,#11A3D6,4.482884615384615,To Democrat
2020-04-08,#556B2F,13.96,To other
2020-04-08,#970D03,4.233955901426719,Stayed Republican
2020-04-08,#AB5A68,1.927777777777778,To Republican
2020-04-09,#030D97,9.726768292682934,Stayed Democrat
2020-04-09,#11A3D6,4.616923076923078,To Democrat
2020-04-09,#556B2F,13.87,To other
2020-04-09,#970D03,4.3129586563307525,Stayed Republican
2020-04-09,#AB5A68,2.19,To Republican
2020-04-10,#030D97,9.673708206686925,Stayed Democrat
2020-04-10,#11A3D6,4.691346153846155,To Democrat
2020-04-10,#556B2F,11.95,To other
2020-04-10,#970D03,4.324987212276219,Stayed Republican
2020-04-10,#AB5A68,2.525555555555555,To Republican
2020-04-11,#030D97,9.392060606060602,Stayed Democrat
2020-04-11,#11A3D6,4.467307692307694,To Democrat
2020-04-11,#556B2F,9.25,To other
2020-04-11,#970D03,4.219569620253163,Stayed Republican
