Date,Location,Percent with one dose,state,state_po,state_fips,STATEFP,STNAME,Total population,candidatevotes,totalvotes,party_simplified,fractionalvotes,day_num
2021-05-26,CO,0.652,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,102
2021-05-25,CO,0.649,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,101
2021-05-24,CO,0.648,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,100
2021-05-23,CO,0.6459999999999999,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,99
2021-05-22,CO,0.644,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,98
2021-05-21,CO,0.636,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,97
2021-05-20,CO,0.636,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,96
2021-05-19,CO,0.634,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,95
2021-05-18,CO,0.631,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,94
2021-05-17,CO,0.63,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,93
2021-05-16,CO,0.629,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,92
2021-05-15,CO,0.625,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,91
2021-05-14,CO,0.622,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,90
2021-05-13,CO,0.619,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,89
2021-05-12,CO,0.617,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,88
2021-05-11,CO,0.616,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,87
2021-05-10,CO,0.614,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,86
2021-05-09,CO,0.61,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,85
2021-05-08,CO,0.607,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,84
2021-05-07,CO,0.604,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,83
2021-05-06,CO,0.601,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,82
2021-05-05,CO,0.597,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,81
2021-05-04,CO,0.593,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,80
2021-05-03,CO,0.5920000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,79
2021-05-02,CO,0.591,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,78
2021-05-01,CO,0.588,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,77
