state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural,Infrequent,Frequent
MT,HILL,30041,DONALD J TRUMP,REPUBLICAN,3957.0,7182.0,urban,40.00372763419483,0.535,0.465
MT,LEWIS AND CLARK,30049,DONALD J TRUMP,REPUBLICAN,21409.0,42265.0,urban,28.929726319110337,0.336,0.6639999999999999
MT,MISSOULA,30063,JOSEPH R BIDEN JR,DEMOCRAT,43357.0,71495.0,urban,22.32682824179544,0.41900000000000004,0.581
MT,PARK,30067,DONALD J TRUMP,REPUBLICAN,6025.0,11566.0,urban,47.73599386032233,0.319,0.681
MT,RICHLAND,30083,DONALD J TRUMP,REPUBLICAN,4800.0,5798.0,urban,44.202749846090704,0.554,0.446
MT,ROOSEVELT,30085,DONALD J TRUMP,REPUBLICAN,1996.0,4017.0,urban,39.73141486810551,0.593,0.40700000000000003
MT,SILVER BOW,30093,JOSEPH R BIDEN JR,DEMOCRAT,10392.0,18658.0,urban,11.441520467836257,0.35500000000000004,0.646
MT,TOOLE,30101,DONALD J TRUMP,REPUBLICAN,1596.0,2119.0,urban,42.95642374154771,0.48100000000000004,0.519
MT,YELLOWSTONE,30111,DONALD J TRUMP,REPUBLICAN,50772.0,83821.0,urban,16.688292379639392,0.473,0.527
NE,ADAMS,31001,DONALD J TRUMP,REPUBLICAN,10085.0,14602.0,urban,22.48437699273052,0.274,0.726
NE,BOX BUTTE,31013,DONALD J TRUMP,REPUBLICAN,4002.0,5181.0,urban,24.9557835160948,0.511,0.488
NE,BUFFALO,31019,DONALD J TRUMP,REPUBLICAN,16640.0,23589.0,urban,32.261073272309226,0.282,0.718
NE,CHEYENNE,31033,DONALD J TRUMP,REPUBLICAN,3813.0,4765.0,urban,36.257251450290056,0.43900000000000006,0.561
NE,COLFAX,31037,DONALD J TRUMP,REPUBLICAN,2636.0,3717.0,urban,40.51355206847361,0.371,0.628
NE,DAKOTA,31043,DONALD J TRUMP,REPUBLICAN,3926.0,6794.0,urban,21.089212605922118,0.41100000000000003,0.588
NE,DAWES,31045,DONALD J TRUMP,REPUBLICAN,2931.0,4121.0,urban,39.93683293400131,0.437,0.563
NE,DAWSON,31047,DONALD J TRUMP,REPUBLICAN,6524.0,9178.0,urban,26.654608238099154,0.325,0.6759999999999999
NE,DODGE,31053,DONALD J TRUMP,REPUBLICAN,10984.0,16876.0,urban,25.128778174484207,0.31200000000000006,0.688
