state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural
AR,ARKANSAS,5001,DONALD J TRUMP,REPUBLICAN,3658.0,6292.0,urban,34.7073978652926
AR,ASHLEY,5003,DONALD J TRUMP,REPUBLICAN,4018.0,7926.0,rural,51.68169130096554
AR,BAXTER,5005,DONALD J TRUMP,REPUBLICAN,12136.0,21007.0,rural,65.84202538963699
AR,BENTON,5007,DONALD J TRUMP,REPUBLICAN,56966.0,119912.0,urban,25.160048613213213
AR,BOONE,5009,DONALD J TRUMP,REPUBLICAN,9235.0,17114.0,rural,62.198195268677345
AR,BRADLEY,5011,DONALD J TRUMP,REPUBLICAN,1444.0,3654.0,urban,49.5915884602016
AR,CALHOUN,5013,DONALD J TRUMP,REPUBLICAN,958.0,2182.0,rural,100.0
AR,CARROLL,5015,DONALD J TRUMP,REPUBLICAN,4862.0,11797.0,rural,72.83392844130292
AR,CHICOT,5017,DONALD J TRUMP,REPUBLICAN,1207.0,4103.0,rural,54.279661016949156
AR,CLARK,5019,DONALD J TRUMP,REPUBLICAN,3076.0,8395.0,rural,54.37703848662753
AR,CLAY,5021,DONALD J TRUMP,REPUBLICAN,2981.0,5183.0,rural,58.857178387116825
AR,CLEBURNE,5023,DONALD J TRUMP,REPUBLICAN,6289.0,12680.0,rural,75.52175587216018
AR,CLEVELAND,5025,DONALD J TRUMP,REPUBLICAN,1570.0,3600.0,rural,100.0
AR,COLUMBIA,5027,DONALD J TRUMP,REPUBLICAN,4419.0,8616.0,rural,57.48615184099055
AR,CONWAY,5029,DONALD J TRUMP,REPUBLICAN,3358.0,8685.0,rural,70.5166173083251
AR,CRAIGHEAD,5031,DONALD J TRUMP,REPUBLICAN,17156.0,38511.0,urban,32.16822371763632
AR,CRAWFORD,5033,DONALD J TRUMP,REPUBLICAN,13335.0,24091.0,rural,51.961322399431786
AR,CRITTENDEN,5035,JOSEPH R BIDEN JR,DEMOCRAT,6212.0,16367.0,urban,20.887195002161015
AR,CROSS,5037,DONALD J TRUMP,REPUBLICAN,3791.0,6942.0,rural,56.78791270285395
AR,DALLAS,5039,DONALD J TRUMP,REPUBLICAN,884.0,2649.0,rural,52.63676688023657
AR,DESHA,5041,DONALD J TRUMP,REPUBLICAN,1379.0,4164.0,urban,31.419126691266914
AR,DREW,5043,DONALD J TRUMP,REPUBLICAN,3126.0,6908.0,urban,48.60878491544654
AR,FAULKNER,5045,DONALD J TRUMP,REPUBLICAN,27934.0,54428.0,urban,38.760299195492635
AR,FRANKLIN,5047,DONALD J TRUMP,REPUBLICAN,4101.0,7129.0,rural,82.60413793103449
AR,FULTON,5049,DONALD J TRUMP,REPUBLICAN,2493.0,5119.0,rural,92.91955900367496
AR,GARLAND,5051,DONALD J TRUMP,REPUBLICAN,22991.0,44199.0,urban,36.903274181454634
AR,GRANT,5053,DONALD J TRUMP,REPUBLICAN,4674.0,8200.0,rural,75.0294068223828
AR,GREENE,5055,DONALD J TRUMP,REPUBLICAN,9917.0,16100.0,urban,41.50629603231171
AR,HEMPSTEAD,5057,DONALD J TRUMP,REPUBLICAN,2514.0,6848.0,rural,55.76982617541687
AR,HOT SPRING,5059,DONALD J TRUMP,REPUBLICAN,7204.0,12557.0,rural,65.96907936700786
AR,HOWARD,5061,DONALD J TRUMP,REPUBLICAN,2393.0,4834.0,rural,67.51758648197838
AR,INDEPENDENCE,5063,DONALD J TRUMP,REPUBLICAN,7943.0,14512.0,rural,68.58405872240564
AR,IZARD,5065,DONALD J TRUMP,REPUBLICAN,2985.0,5810.0,rural,100.0
AR,JACKSON,5067,DONALD J TRUMP,REPUBLICAN,2249.0,5091.0,rural,65.06084347391233
AR,JEFFERSON,5069,JOSEPH R BIDEN JR,DEMOCRAT,9418.0,25158.0,urban,30.916252340672823
AR,JOHNSON,5071,DONALD J TRUMP,REPUBLICAN,4148.0,9498.0,rural,71.3664839467502
AR,LAFAYETTE,5073,DONALD J TRUMP,REPUBLICAN,1197.0,2679.0,rural,100.0
AR,LAWRENCE,5075,DONALD J TRUMP,REPUBLICAN,2844.0,5857.0,rural,63.560149296583404
AR,LEE,5077,JOSEPH R BIDEN JR,DEMOCRAT,885.0,2848.0,rural,63.50729086722947
AR,LINCOLN,5079,DONALD J TRUMP,REPUBLICAN,1504.0,3875.0,rural,100.0
AR,LITTLE RIVER,5081,DONALD J TRUMP,REPUBLICAN,2778.0,5177.0,rural,68.52175233467467
AR,LOGAN,5083,DONALD J TRUMP,REPUBLICAN,4229.0,8225.0,rural,71.01954994855276
AR,LONOKE,5085,DONALD J TRUMP,REPUBLICAN,18811.0,30662.0,urban,44.81245245479548
AR,MADISON,5087,DONALD J TRUMP,REPUBLICAN,2923.0,7351.0,rural,100.0
AR,MARION,5089,DONALD J TRUMP,REPUBLICAN,3623.0,7503.0,rural,100.0
AR,MILLER,5091,DONALD J TRUMP,REPUBLICAN,8789.0,16529.0,urban,40.011964474713544
AR,MISSISSIPPI,5093,DONALD J TRUMP,REPUBLICAN,5042.0,12342.0,urban,36.267211703958694
AR,MONROE,5095,DONALD J TRUMP,REPUBLICAN,917.0,2816.0,rural,68.97778868572831
AR,MONTGOMERY,5097,DONALD J TRUMP,REPUBLICAN,1935.0,3873.0,rural,100.0
AR,NEVADA,5099,DONALD J TRUMP,REPUBLICAN,1130.0,3358.0,rural,69.17861509392019
AR,NEWTON,5101,DONALD J TRUMP,REPUBLICAN,1608.0,3998.0,rural,100.0
AR,OUACHITA,5103,DONALD J TRUMP,REPUBLICAN,3686.0,9629.0,rural,56.34929750009571
AR,PERRY,5105,DONALD J TRUMP,REPUBLICAN,2337.0,4627.0,rural,100.0
AR,PHILLIPS,5107,JOSEPH R BIDEN JR,DEMOCRAT,2376.0,6242.0,urban,47.96617180677483
AR,PIKE,5109,DONALD J TRUMP,REPUBLICAN,2511.0,4246.0,rural,100.0
AR,POINSETT,5111,DONALD J TRUMP,REPUBLICAN,3135.0,7521.0,rural,71.1385917097181
AR,POLK,5113,DONALD J TRUMP,REPUBLICAN,4739.0,8490.0,rural,73.38592585422515
AR,POPE,5115,DONALD J TRUMP,REPUBLICAN,14281.0,24432.0,rural,54.4936360397707
AR,PRAIRIE,5117,DONALD J TRUMP,REPUBLICAN,1510.0,3495.0,rural,100.0
AR,PULASKI,5119,JOSEPH R BIDEN JR,DEMOCRAT,67553.0,169956.0,urban,12.27674605745817
AR,RANDOLPH,5121,DONALD J TRUMP,REPUBLICAN,3714.0,6812.0,rural,67.42167065501697
AR,ST. FRANCIS,5123,JOSEPH R BIDEN JR,DEMOCRAT,2335.0,7108.0,rural,51.55354235968576
AR,SALINE,5125,DONALD J TRUMP,REPUBLICAN,30778.0,56959.0,urban,36.1601224817491
AR,SCOTT,5127,DONALD J TRUMP,REPUBLICAN,1593.0,3551.0,rural,70.35520341849907
AR,SEARCY,5129,DONALD J TRUMP,REPUBLICAN,2233.0,4019.0,rural,100.0
AR,SEBASTIAN,5131,DONALD J TRUMP,REPUBLICAN,22808.0,47140.0,urban,20.81212622471052
AR,SEVIER,5133,DONALD J TRUMP,REPUBLICAN,2368.0,5202.0,rural,63.60065658342127
AR,SHARP,5135,DONALD J TRUMP,REPUBLICAN,4208.0,7566.0,rural,80.05676552363299
AR,STONE,5137,DONALD J TRUMP,REPUBLICAN,2888.0,5938.0,rural,100.0
AR,UNION,5139,DONALD J TRUMP,REPUBLICAN,5398.0,16607.0,rural,54.50419078267969
AR,VAN BUREN,5141,DONALD J TRUMP,REPUBLICAN,4350.0,7807.0,rural,100.0
AR,WASHINGTON,5143,DONALD J TRUMP,REPUBLICAN,31520.0,94266.0,urban,25.494792307881713
AR,WHITE,5145,DONALD J TRUMP,REPUBLICAN,15954.0,30885.0,rural,54.31781618143131
AR,WOODRUFF,5147,DONALD J TRUMP,REPUBLICAN,771.0,2476.0,rural,100.0
AR,YELL,5149,DONALD J TRUMP,REPUBLICAN,3507.0,6741.0,rural,79.12553527157989
CA,ALAMEDA,6001,JOSEPH R BIDEN JR,DEMOCRAT,617659.0,770070.0,urban,0.38860575353694804
CA,ALPINE,6003,JOSEPH R BIDEN JR,DEMOCRAT,476.0,741.0,rural,100.0
CA,AMADOR,6005,DONALD J TRUMP,REPUBLICAN,13585.0,22304.0,rural,60.42372213908798
CA,BUTTE,6007,JOSEPH R BIDEN JR,DEMOCRAT,50426.0,102066.0,urban,18.901818181818182
CA,CALAVERAS,6009,DONALD J TRUMP,REPUBLICAN,16518.0,27164.0,rural,75.40918864364386
CA,COLUSA,6011,DONALD J TRUMP,REPUBLICAN,4559.0,7961.0,urban,31.72417012932443
CA,CONTRA COSTA,6013,JOSEPH R BIDEN JR,DEMOCRAT,416386.0,581316.0,urban,0.7927361121040967
CA,DEL NORTE,6015,DONALD J TRUMP,REPUBLICAN,6461.0,11453.0,urban,33.67354072002796
CA,EL DORADO,6017,DONALD J TRUMP,REPUBLICAN,61838.0,116159.0,urban,34.6999304090402
CA,FRESNO,6019,JOSEPH R BIDEN JR,DEMOCRAT,193025.0,364917.0,urban,10.805201784082971
CA,GLENN,6021,DONALD J TRUMP,REPUBLICAN,7063.0,11297.0,urban,40.87191522651305
CA,HUMBOLDT,6023,JOSEPH R BIDEN JR,DEMOCRAT,44768.0,68843.0,urban,29.75865936727008
CA,IMPERIAL,6025,JOSEPH R BIDEN JR,DEMOCRAT,34678.0,56743.0,urban,17.417835533553355
CA,INYO,6027,JOSEPH R BIDEN JR,DEMOCRAT,4634.0,9484.0,urban,46.43049714224091
CA,KERN,6029,DONALD J TRUMP,REPUBLICAN,164484.0,305292.0,urban,10.20603098265786
CA,KINGS,6031,DONALD J TRUMP,REPUBLICAN,24072.0,43861.0,urban,10.85160345661581
CA,LAKE,6033,JOSEPH R BIDEN JR,DEMOCRAT,14941.0,28812.0,urban,33.10600788680121
CA,LASSEN,6035,DONALD J TRUMP,REPUBLICAN,8970.0,11987.0,rural,70.52586330419831
CA,LOS ANGELES,6037,JOSEPH R BIDEN JR,DEMOCRAT,3028885.0,4264365.0,urban,0.6052183584124221
CA,MADERA,6039,DONALD J TRUMP,REPUBLICAN,29378.0,53732.0,urban,32.924800318165246
CA,MARIN,6041,JOSEPH R BIDEN JR,DEMOCRAT,128288.0,155830.0,urban,6.519973535016581
CA,MARIPOSA,6043,DONALD J TRUMP,REPUBLICAN,5950.0,10280.0,rural,100.0
CA,MENDOCINO,6045,JOSEPH R BIDEN JR,DEMOCRAT,28782.0,43340.0,urban,45.23058708348038
CA,MERCED,6047,JOSEPH R BIDEN JR,DEMOCRAT,48991.0,90554.0,urban,14.273260018843361
CA,MODOC,6049,DONALD J TRUMP,REPUBLICAN,3109.0,4343.0,rural,69.95663844724345
CA,MONO,6051,JOSEPH R BIDEN JR,DEMOCRAT,4013.0,6738.0,urban,45.8315730178848
CA,MONTEREY,6053,JOSEPH R BIDEN JR,DEMOCRAT,113953.0,163923.0,urban,9.816001175742127
CA,NAPA,6055,JOSEPH R BIDEN JR,DEMOCRAT,49817.0,72150.0,urban,13.400838193487882
CA,NEVADA,6057,JOSEPH R BIDEN JR,DEMOCRAT,36359.0,64750.0,urban,42.134785954396335
CA,ORANGE,6059,JOSEPH R BIDEN JR,DEMOCRAT,814009.0,1522113.0,urban,0.14334443325298515
CA,PLACER,6061,DONALD J TRUMP,REPUBLICAN,122488.0,235084.0,urban,13.787195205951233
CA,PLUMAS,6063,DONALD J TRUMP,REPUBLICAN,6445.0,11260.0,rural,74.02409156795122
CA,RIVERSIDE,6065,JOSEPH R BIDEN JR,DEMOCRAT,528340.0,997156.0,urban,4.62231023259064
CA,SACRAMENTO,6067,JOSEPH R BIDEN JR,DEMOCRAT,440808.0,718440.0,urban,2.0621121689780293
CA,SAN BENITO,6069,JOSEPH R BIDEN JR,DEMOCRAT,17628.0,28830.0,urban,24.004414771390834
CA,SAN BERNARDINO,6071,JOSEPH R BIDEN JR,DEMOCRAT,455859.0,841130.0,urban,4.734499142594622
CA,SAN DIEGO,6073,JOSEPH R BIDEN JR,DEMOCRAT,964650.0,1602143.0,urban,3.2970494421727303
CA,SAN FRANCISCO,6075,JOSEPH R BIDEN JR,DEMOCRAT,378156.0,443553.0,urban,0.0
CA,SAN LUIS OBISPO,6079,JOSEPH R BIDEN JR,DEMOCRAT,88310.0,159714.0,urban,16.5963869943665
CA,SAN MATEO,6081,JOSEPH R BIDEN JR,DEMOCRAT,291496.0,374251.0,urban,1.8910127482597978
CA,SANTA BARBARA,6083,JOSEPH R BIDEN JR,DEMOCRAT,129963.0,200339.0,urban,5.017516130173746
CA,SANTA CLARA,6085,JOSEPH R BIDEN JR,DEMOCRAT,617967.0,850741.0,urban,1.0836632724194872
CA,SANTA CRUZ,6087,JOSEPH R BIDEN JR,DEMOCRAT,114246.0,144837.0,urban,12.03931672142144
CA,SHASTA,6089,DONALD J TRUMP,REPUBLICAN,60789.0,92930.0,urban,29.286266455256936
CA,SIERRA,6091,DONALD J TRUMP,REPUBLICAN,1142.0,1931.0,rural,99.72222222222223
CA,SISKIYOU,6093,DONALD J TRUMP,REPUBLICAN,13290.0,23472.0,rural,65.82628062360801
CA,SOLANO,6095,JOSEPH R BIDEN JR,DEMOCRAT,131639.0,205877.0,urban,3.7184524270341415
CA,SONOMA,6097,JOSEPH R BIDEN JR,DEMOCRAT,199938.0,268317.0,urban,12.353527128739064
CA,STANISLAUS,6099,JOSEPH R BIDEN JR,DEMOCRAT,105841.0,214954.0,urban,7.980709608069153
CA,SUTTER,6101,DONALD J TRUMP,REPUBLICAN,24375.0,42644.0,urban,14.797808670318883
CA,TEHAMA,6103,DONALD J TRUMP,REPUBLICAN,19141.0,28731.0,rural,51.48826875502262
CA,TRINITY,6105,DONALD J TRUMP,REPUBLICAN,3188.0,6259.0,rural,100.0
CA,TULARE,6107,DONALD J TRUMP,REPUBLICAN,77579.0,146885.0,urban,15.479930073567491
CA,TUOLUMNE,6109,DONALD J TRUMP,REPUBLICAN,17689.0,30408.0,urban,48.96595321954303
CA,VENTURA,6111,JOSEPH R BIDEN JR,DEMOCRAT,251388.0,422825.0,urban,3.124552117164935
CA,YOLO,6113,JOSEPH R BIDEN JR,DEMOCRAT,67598.0,97294.0,urban,6.929583916275411
CA,YUBA,6115,DONALD J TRUMP,REPUBLICAN,17676.0,29796.0,urban,26.22271498856628
CO,ADAMS,8001,JOSEPH R BIDEN JR,DEMOCRAT,134202.0,236740.0,urban,3.620446419068711
CO,ALAMOSA,8003,DONALD J TRUMP,REPUBLICAN,3813.0,7808.0,urban,36.86629977338944
CO,ARAPAHOE,8005,JOSEPH R BIDEN JR,DEMOCRAT,213607.0,350183.0,urban,1.57558653923492
CO,ARCHULETA,8007,DONALD J TRUMP,REPUBLICAN,5189.0,9144.0,rural,59.37603442568686
CO,BACA,8009,DONALD J TRUMP,REPUBLICAN,1867.0,2225.0,rural,100.0
CO,BENT,8011,DONALD J TRUMP,REPUBLICAN,1503.0,2274.0,urban,37.9596861055547
CO,BOULDER,8013,JOSEPH R BIDEN JR,DEMOCRAT,159089.0,206111.0,urban,8.913082592415309
CO,BROOMFIELD,8014,JOSEPH R BIDEN JR,DEMOCRAT,29077.0,46632.0,urban,0.5832990391669202
CO,CHAFFEE,8015,JOSEPH R BIDEN JR,DEMOCRAT,7160.0,13718.0,urban,37.41366724689764
CO,CHEYENNE,8017,DONALD J TRUMP,REPUBLICAN,993.0,1136.0,rural,100.0
CO,CLEAR CREEK,8019,JOSEPH R BIDEN JR,DEMOCRAT,3604.0,6548.0,rural,100.0
CO,CONEJOS,8021,DONALD J TRUMP,REPUBLICAN,2286.0,4333.0,rural,100.0
CO,COSTILLA,8023,JOSEPH R BIDEN JR,DEMOCRAT,1311.0,2094.0,rural,100.0
CO,CROWLEY,8025,DONALD J TRUMP,REPUBLICAN,1271.0,1750.0,rural,100.0
CO,CUSTER,8027,DONALD J TRUMP,REPUBLICAN,2474.0,3635.0,rural,100.0
CO,DELTA,8029,DONALD J TRUMP,REPUBLICAN,13081.0,19370.0,rural,63.172008270871025
CO,DENVER,8031,JOSEPH R BIDEN JR,DEMOCRAT,313293.0,393829.0,urban,0.0
CO,DOLORES,8033,DONALD J TRUMP,REPUBLICAN,1089.0,1449.0,rural,100.0
CO,DOUGLAS,8035,DONALD J TRUMP,REPUBLICAN,121270.0,231605.0,urban,10.287425778992171
CO,EAGLE,8037,JOSEPH R BIDEN JR,DEMOCRAT,18588.0,29140.0,urban,19.983907121098916
CO,ELBERT,8039,DONALD J TRUMP,REPUBLICAN,14027.0,18983.0,rural,100.0
CO,EL PASO,8041,DONALD J TRUMP,REPUBLICAN,202828.0,378851.0,urban,8.934325196902275
CO,FREMONT,8043,DONALD J TRUMP,REPUBLICAN,17517.0,25557.0,urban,26.420211857167264
CO,GARFIELD,8045,JOSEPH R BIDEN JR,DEMOCRAT,15427.0,30904.0,urban,24.103991913316428
CO,GILPIN,8047,JOSEPH R BIDEN JR,DEMOCRAT,2223.0,4186.0,rural,100.0
CO,GRAND,8049,DONALD J TRUMP,REPUBLICAN,4883.0,9870.0,rural,82.59785757596173
CO,GUNNISON,8051,JOSEPH R BIDEN JR,DEMOCRAT,7132.0,11190.0,rural,58.607413208039674
CO,HINSDALE,8053,DONALD J TRUMP,REPUBLICAN,353.0,632.0,rural,100.0
CO,HUERFANO,8055,DONALD J TRUMP,REPUBLICAN,2203.0,4406.0,rural,56.14662494412159
CO,JACKSON,8057,DONALD J TRUMP,REPUBLICAN,681.0,876.0,rural,100.0
CO,JEFFERSON,8059,JOSEPH R BIDEN JR,DEMOCRAT,218396.0,377358.0,urban,6.896358197563152
CO,KIOWA,8061,DONALD J TRUMP,REPUBLICAN,795.0,903.0,rural,100.0
CO,KIT CARSON,8063,DONALD J TRUMP,REPUBLICAN,3144.0,3871.0,urban,48.69407496977025
CO,LAKE,8065,JOSEPH R BIDEN JR,DEMOCRAT,2303.0,3961.0,urban,31.06703146374829
CO,LA PLATA,8067,JOSEPH R BIDEN JR,DEMOCRAT,20548.0,35667.0,rural,59.94857209646628
CO,LARIMER,8069,JOSEPH R BIDEN JR,DEMOCRAT,126120.0,224338.0,urban,11.660381136735307
CO,LAS ANIMAS,8071,DONALD J TRUMP,REPUBLICAN,4284.0,7961.0,urban,40.79447991229767
CO,LINCOLN,8073,DONALD J TRUMP,REPUBLICAN,2135.0,2651.0,rural,100.0
CO,LOGAN,8075,DONALD J TRUMP,REPUBLICAN,8087.0,10532.0,urban,29.155841296402308
