date,changecolor,cases_avg_per_100k,segmentname
2020-03-30,#11A3D6,1.9771666666666665,To Democrat
2020-03-30,#556B2F,3.663333333333334,To other
2020-03-30,#970D03,1.9713688946015417,Stayed Republican
2020-03-30,#AB5A68,2.157777777777778,To Republican
2020-03-31,#030D97,5.596125907990316,Stayed Democrat
2020-03-31,#11A3D6,2.393333333333334,To Democrat
2020-03-31,#556B2F,3.276666666666667,To other
2020-03-31,#970D03,2.2115076923076935,Stayed Republican
2020-03-31,#AB5A68,2.9299999999999997,To Republican
2020-04-01,#030D97,6.089572446555819,Stayed Democrat
2020-04-01,#11A3D6,2.719,To Democrat
2020-04-01,#556B2F,3.103333333333333,To other
2020-04-01,#970D03,2.399880881477072,Stayed Republican
2020-04-01,#AB5A68,3.4122222222222223,To Republican
2020-04-02,#030D97,6.784407582938392,Stayed Democrat
2020-04-02,#11A3D6,2.9558333333333326,To Democrat
2020-04-02,#556B2F,3.198333333333333,To other
2020-04-02,#970D03,2.6110616438356216,Stayed Republican
2020-04-02,#AB5A68,3.1510000000000007,To Republican
2020-04-03,#030D97,7.429788235294114,Stayed Democrat
2020-04-03,#11A3D6,3.1760655737704924,To Democrat
2020-04-03,#556B2F,3.7275000000000005,To other
2020-04-03,#970D03,2.829944720840247,Stayed Republican
2020-04-03,#AB5A68,3.063,To Republican
2020-04-04,#030D97,8.089976689976693,Stayed Democrat
2020-04-04,#11A3D6,3.588524590163935,To Democrat
2020-04-04,#556B2F,4.1000000000000005,To other
2020-04-04,#970D03,3.0670804101457185,Stayed Republican
2020-04-04,#AB5A68,3.806,To Republican
2020-04-05,#030D97,8.426953488372098,Stayed Democrat
2020-04-05,#11A3D6,3.6455737704918048,To Democrat
2020-04-05,#556B2F,4.567500000000001,To other
2020-04-05,#970D03,3.268839427662959,Stayed Republican
2020-04-05,#AB5A68,3.6440000000000006,To Republican
2020-04-06,#030D97,8.7208584686775,Stayed Democrat
2020-04-06,#11A3D6,3.780491803278689,To Democrat
2020-04-06,#556B2F,4.495,To other
2020-04-06,#970D03,3.463226307612632,Stayed Republican
2020-04-06,#AB5A68,3.585454545454546,To Republican
2020-04-07,#030D97,9.52030092592593,Stayed Democrat
2020-04-07,#11A3D6,3.9440983606557385,To Democrat
2020-04-07,#556B2F,4.773076923076923,To other
2020-04-07,#970D03,3.633976814516131,Stayed Republican
2020-04-07,#AB5A68,3.7581818181818183,To Republican
2020-04-08,#030D97,9.682060185185186,Stayed Democrat
2020-04-08,#11A3D6,4.156393442622949,To Democrat
2020-04-08,#556B2F,4.66923076923077,To other
2020-04-08,#970D03,3.725883524141359,Stayed Republican
2020-04-08,#AB5A68,3.5833333333333335,To Republican
2020-04-09,#030D97,9.697816091954023,Stayed Democrat
2020-04-09,#11A3D6,4.275409836065575,To Democrat
2020-04-09,#556B2F,4.886923076923077,To other
2020-04-09,#970D03,3.8335282555282553,Stayed Republican
2020-04-09,#AB5A68,3.965,To Republican
2020-04-10,#030D97,9.717528604118996,Stayed Democrat
2020-04-10,#11A3D6,4.341311475409837,To Democrat
2020-04-10,#556B2F,4.664615384615384,To other
2020-04-10,#970D03,3.8666424418604657,Stayed Republican
2020-04-10,#AB5A68,4.523333333333333,To Republican
2020-04-11,#030D97,9.429727272727268,Stayed Democrat
2020-04-11,#11A3D6,4.151639344262296,To Democrat
2020-04-11,#556B2F,4.764615384615386,To other
2020-04-11,#970D03,3.8402630320420825,Stayed Republican
2020-04-11,#AB5A68,4.45,To Republican
2020-04-12,#030D97,9.554045454545445,Stayed Democrat
2020-04-12,#11A3D6,4.1662295081967216,To Democrat
2020-04-12,#556B2F,4.171538461538462,To other
2020-04-12,#970D03,3.815277382645801,Stayed Republican
2020-04-12,#AB5A68,4.429166666666667,To Republican
2020-04-13,#030D97,9.510181405895684,Stayed Democrat
2020-04-13,#11A3D6,4.1718032786885235,To Democrat
2020-04-13,#556B2F,4.1984615384615385,To other
2020-04-13,#970D03,3.7866666666666675,Stayed Republican
2020-04-13,#AB5A68,4.123333333333334,To Republican
2020-04-14,#030D97,8.802013574660638,Stayed Democrat
